Line,Individual Number,Chamber,Position Column,Position Row,Position Block,Treatment,Plant ID,Population,Mother,Replicate,Growth Measure Date,Growth Measure Number,Growth Measure Plant Height     cm,Growth Measure Leaf Number,Growth Measure Longest Leaf Length   cm,Leaf Measure Date,Leaf Measure Number,Leaf Sample Number,Leaf Measure Porometer mmol/m²s,Leaf Measure Spad,Leaf Measure Spad :1,Leaf Measure Spad :2,Leaf Measure Spad Mean,Leaf Measure Area     cm²,Leaf Measure Area :1  cm²,Leaf Measure Area :2  cm²,Leaf Measure Area Mean  cm²,Leaf Measure Perimeter cm,Leaf Measure Perimeter :1 cm,Leaf Measure Perimeter :2 cm,Leaf Measure Perimeter Mean       cm,Leaf Measure Length    cm,Leaf Measure Length :1  cm,Leaf Measure Length :2  cm,Leaf Measure Length Mean      cm,Leaf MeasureWidth   cm,Leaf Measure Width :1   cm,Leaf Measure Width :2   cm,Leaf Measure Width  Mean     cm,Leaf Measure Dry Weight    g,Leaf Measure Dry Weight :1   g,Leaf Measure Dry Weight :2   g,Leaf Measure Dry Weight Mean        g,Leaf Measure SLA (leaf area cm² / dry leaf weight g),Notes
236,553,36,18,F,2,Drought,11.9.2,11,9,2,Jun-16,2:2,55.5,31,10,Jun-16,2:0,2,.,53.3,52.6,.,52.95,11.0391,10.1289,.,10.584,16.7482,15.9786,.,16.3634,6.8831,6.722,.,6.80255,4.8189,2.4417,.,3.6303,0.0998,0.0955,.,0.09765,,
237,585,36,18,H,2,Drought,B.7.1,B,7,1,Jun-16,2:2,48,36,7,Jun-16,2:0,2,.,40.8,35.7,.,38.25,11.7528,8.4473,.,10.10005,14.5919,13.6135,.,14.1027,5.4793,5.1428,.,5.31105,3.2976,4.0473,.,3.67245,0.1325,0.0941,.,0.1133,,
238,329,36,19,E,2,Drought,T3.3.6,T3,3,6,Jun-16,2:2,35.7,82,9,Jun-16,2:0,2,.,46.3,43.6,.,44.95,4.8252,4.2396,.,4.5324,12.8795,12.781,.,12.83025,5.7899,5.5376,.,5.66375,4.1671,4.8172,.,4.49215,0.0454,0.0386,.,0.042,,
239,305,36,19,G,2,Drought,D.10.8,D,10,8,Jun-16,2:2,35,15,10.5,Jun-16,2:0,2,.,43.3,42.9,.,43.1,8.9011,7.0858,.,7.99345,14.8069,14.3783,.,14.5926,6.2692,6.3022,.,6.2857,2.4579,5.0245,.,3.7412,0.0649,0.0548,.,0.05985,,
240,308,36,20,F,2,Drought,B.5.11,B,5,11,Jun-16,2:2,72,45,7.5,Jun-16,2:0,2,.,49.8,47.2,.,48.5,11.1621,7.3574,.,9.25975,15.7896,13.2623,.,14.52595,6.3195,5.3967,.,5.8581,5.1163,2.3893,.,3.7528,0.1296,0.0798,.,0.1047,,
241,582,36,20,H,2,Drought,D.6.4,D,6,4,Jun-16,2:2,47.2,27,11,Jun-16,2:0,2,.,53.6,45.2,.,49.4,10.8764,7.6029,.,9.23965,17.5184,15.3534,.,16.4359,7.3449,6.7204,.,7.03265,4.8206,2.1115,.,3.46605,0.1328,0.0883,.,0.11055,,
242,167,35,21,A,3,Water,D.7.5,D,7,5,Jun-16,2:2,27.5,32,9,Jun-16,2:0,2,.,50.9,45.6,.,48.25,5.1488,7.1724,.,6.1606,13.8235,14.6026,.,14.21305,6.1649,6.3015,.,6.2332,1.3563,4.5884,.,2.97235,0.0638,0.0478,.,0.0558,,
243,180,35,21,C,3,Water,11.1.6,11,1,6,Jun-16,2:2,58,100,8.2,Jun-16,2:0,2,.,51.9,46.8,.,49.35,9.0648,7.5818,.,8.3233,16.4838,14.6446,.,15.5642,7.0077,6.1409,.,6.5743,5.0434,4.2288,.,4.6361,0.0945,0.0703,.,0.0824,,
244,57,35,22,B,3,Water,T3.9.16,T3,9,16,Jun-16,2:2,52,56,10,Jun-16,2:0,2,.,51.6,42.7,.,47.15,11.6801,11.419,.,11.54955,19.121,18.0624,.,18.5917,8.1439,7.621,.,7.88245,3.0103,5.1774,.,4.09385,0.1186,0.1139,.,0.11625,,
245,252,35,22,D,3,Water,G.9.5,G,9,5,Jun-16,2:2,59.4,45,9,Jun-16,2:0,2,.,45.2,45.1,.,45.15,16.1606,14.6806,.,15.4206,20.0359,19.5962,.,19.81605,8.4561,8.182,.,8.31905,6.6628,2.9332,.,4.798,0.1653,0.1386,.,0.15195,,
246,11,35,23,A,3,Water,11.6.10,11,6,10,Jun-16,2:2,43,9,9.3,Jun-16,2:0,2,.,30.4,28,.,29.2,5.987,7.3393,.,6.66315,13.9155,14.6076,.,14.26155,5.9734,6.3736,.,6.1735,1.7761,5.1495,.,3.4628,0.0839,0.066,.,0.07495,,
247,21,35,23,C,3,Water,B.3.6,B,3,6,Jun-16,2:2,72.5,30,8,Jun-16,2:0,2,.,54.5,52.1,.,53.3,12.2112,10.2456,.,11.2284,17.3721,15.9159,.,16.644,7.0585,6.5928,.,6.82565,5.263,5.0855,.,5.17425,0.1014,0.0795,.,0.09045,,
248,205,35,24,B,3,Water,G.3.9,G,3,9,Jun-16,2:2,43,32,7,Jun-16,2:0,2,.,54,50.3,.,52.15,12.2108,10.2452,.,11.228,17.3718,15.9156,.,16.6437,7.0584,6.5927,.,6.82555,5.2629,5.0854,.,5.17415,0.1189,0.0479,.,0.0834,,
249,291,35,24,D,3,Water,T3.7.11,T3,7,11,Jun-16,2:2,71.4,117,10,Jun-16,2:0,2,.,48.9,40.9,.,44.9,10.5185,7.8777,.,9.1981,20.1861,17.7932,.,18.98965,9.0981,7.5106,.,8.30435,8.1344,4.0489,.,6.09165,0.0938,0.0709,.,0.08235,,
250,4,35,25,A,3,Water,B.8.5,B,8,5,Jun-16,2:2,32.3,49,8,Jun-16,2:0,2,.,47.9,45.1,.,46.5,15.2904,12.1716,.,13.731,20.0681,17.9992,.,19.03365,8.5018,7.6939,.,8.09785,5.212,5.7776,.,5.4948,0.1497,0.108,.,0.12885,,
251,8,35,25,C,3,Water,G.10.3,G,10,3,Jun-16,2:2,73.5,60,10,Jun-16,2:0,2,.,54.6,47.6,.,51.1,9.9486,9.3249,.,9.63675,22.298,19.1052,.,20.7016,9.9936,8.5827,.,9.28815,8.8563,1.7297,.,5.293,0.1116,0.0972,.,0.1044,,
252,227,35,26,B,3,Water,D.5.9,D,5,9,Jun-16,2:2,63,49,13,Jun-16,2:0,2,.,47.2,44.6,.,45.9,13.3126,11.1809,.,12.24675,27.2714,24.2147,.,25.74305,12.2605,10.9743,.,11.6174,10.9306,6.3808,.,8.6557,0.1271,0.1042,.,0.11565,,
253,228,35,26,D,3,Water,11.7.2,11,7,2,Jun-16,2:2,87.5,30,11.5,Jun-16,2:0,2,.,50.5,51,.,50.75,8.4304,7.2155,.,7.82295,19.5725,17.7134,.,18.64295,8.8688,8.0619,.,8.46535,6.6581,6.6412,.,6.64965,0.0817,0.0729,.,0.0773,,
254,281,35,27,A,3,Water,G.7.2,G,7,2,Jun-16,2:2,45,32,9,Jun-16,2:0,2,.,43,43.5,.,43.25,10.3553,7.6141,.,8.9847,17.877,14.7251,.,16.30105,7.6906,6.4676,.,7.0791,6.7613,1.9576,.,4.35945,0.1065,0.0806,.,0.09355,,
255,16,35,27,C,3,Water,T3.8.5,T3,8,5,Jun-16,2:2,33,18,7,Jun-16,2:0,2,.,39.3,44.5,.,41.9,7.5312,4.8137,.,6.17245,15.3395,13.0901,.,14.2148,6.2769,5.7138,.,5.99535,4.4703,4.8506,.,4.66045,0.0648,0.0398,.,0.0523,,
256,268,35,28,B,3,Water,11.9.16,11,9,16,Jun-16,2:2,17,6,7.5,Jun-16,2:0,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,,no 11.9.16
257,123,35,28,D,3,Water,B.7.13,B,7,13,Jun-16,2:2,60,34,6.5,Jun-16,2:0,2,.,38.8,38.4,.,38.6,10.9314,8.6911,.,9.81125,14.6335,12.9738,.,13.80365,5.7774,5.1187,.,5.44805,4.4298,2.6158,.,3.5228,0.1099,0.0775,.,0.0937,,
258,60,35,29,A,3,Water,T3.3.12,T3,3,12,Jun-16,2:2,39,20,9,Jun-16,2:0,2,.,53.6,50.1,.,51.85,13.5534,9.695,.,11.6242,21.5821,17.9355,.,19.7588,8.5434,7.7841,.,8.16375,4.873,2.2835,.,3.57825,0.1324,0.0837,.,0.10805,,
259,42,35,29,C,3,Water,D.10.16,D,10,16,Jun-16,2:2,59,28,9.5,Jun-16,2:0,2,.,53.2,43.7,.,48.45,13.5529,9.6947,.,11.6238,21.5817,17.9351,.,19.7584,8.5433,7.784,.,8.16365,4.8729,2.2835,.,3.5782,0.1058,0.0866,.,0.0962,,
260,72,35,30,B,3,Water,B.5.12,B,5,12,Jun-16,2:2,64,63,7.5,Jun-16,2:0,2,.,48,43.4,.,45.7,11.6888,9.3388,.,10.5138,15.698,13.9193,.,14.80865,6.0499,5.3452,.,5.69755,4.4328,2.8199,.,3.62635,0.1196,0.0934,.,0.1065,,
261,220,35,30,D,3,Water,D.6.2,D,6,2,Jun-16,2:2,70,58,11,Jun-16,2:0,2,.,47.3,49.3,.,48.3,15.4644,11.3699,.,13.41715,20.712,19.4285,.,20.07025,8.8771,8.4594,.,8.66825,7.1721,2.2047,.,4.6884,0.1528,0.1153,.,0.13405,,
262,87,35,21,E,3,Drought,D.7.15,D,7,15,Jun-16,2:2,29.8,31,9.9,Jun-16,2:0,2,.,50.3,47.8,.,49.05,8.1118,10.0912,.,9.1015,18.4489,19.4602,.,18.95455,8.2207,8.6803,.,8.4505,1.7684,3.7758,.,2.7721,0.07,0.0599,.,0.06495,,
263,107,35,21,G,3,Drought,11.1.7,11,1,7,Jun-16,2:2,59.3,67,11,Jun-16,2:0,2,.,56.1,50.7,.,53.4,8.5629,5.8466,.,7.20475,20.349,16.2047,.,18.27685,9.0445,7.3104,.,8.17745,6.103,1.3409,.,3.72195,0.0908,0.0627,.,0.07675,,
264,38,35,22,F,3,Drought,T3.9.14,T3,9,14,Jun-16,2:2,66.5,27,9.2,Jun-16,2:0,2,.,46.8,39.9,.,43.35,14.6793,11.1087,.,12.894,19.1022,16.2506,.,17.6764,7.9913,6.8063,.,7.3988,6.0944,5.3391,.,5.71675,0.1421,0.0946,.,0.11835,,
265,219,35,22,H,3,Drought,G.9.14,G,9,14,Jun-16,2:2,63.5,41,10.5,Jun-16,2:0,2,.,44.1,42.1,.,43.1,10.5121,14.7621,.,12.6371,15.2911,19.0083,.,17.1497,6.2606,8.0059,.,7.13325,2.7248,6.0287,.,4.37675,0.1937,0.1415,.,0.1676,,
266,233,35,23,E,3,Drought,11.6.16,11,6,16,Jun-16,2:2,64.8,16,11.5,Jun-16,2:0,2,.,53.6,53.1,.,53.35,27.9711,19.5201,.,23.7456,27.3616,23.3411,.,25.35135,11.4261,9.6869,.,10.5565,9.1905,6.4786,.,7.83455,0.2716,0.1986,.,0.2351,,
267,50,35,23,G,3,Drought,B.3.13,B,3,13,Jun-16,2:2,48,25,7.9,Jun-16,2:0,2,.,50.4,45.9,.,48.15,10.8932,9.1258,.,10.0095,16.8737,14.6033,.,15.7385,7.1734,6.1079,.,6.64065,5.7758,4.3205,.,5.04815,0.1303,0.1069,.,0.1186,,
268,140,35,24,F,3,Drought,G.3.10,G,3,10,Jun-16,2:2,49,27,8.1,Jun-16,2:0,2,.,49.6,30.4,.,40,8.5403,10.5074,.,9.52385,17.4392,17.6903,.,17.56475,7.4631,7.0249,.,7.244,1.9382,5.6678,.,3.803,0.1105,0.0912,.,0.10085,,
269,213,35,24,H,3,Drought,T3.7.9,T3,7,9,Jun-16,2:2,44,39,8,Jun-16,2:0,2,.,43.7,37.1,.,40.4,5.8647,4.2265,.,5.0456,13.9058,12.5546,.,13.2302,6.1263,5.5263,.,5.8263,5.4262,1.2256,.,3.3259,0.0697,0.0497,.,0.0597,,
270,159,35,25,E,3,Drought,B.8.9,B,8,9,Jun-16,2:2,72.5,27,11.6,Jun-16,2:0,2,.,42.1,35.6,.,38.85,15.334,9.7646,.,12.5493,19.8911,16.7351,.,18.3131,8.421,7.2176,.,7.8193,7.2263,2.3718,.,4.79905,0.1619,0.094,.,0.12795,,
271,202,35,25,G,3,Drought,G.10.16,G,10,16,Jun-16,2:2,57,22,10.3,Jun-16,2:0,2,.,52.4,46.4,.,49.4,15.0838,4.8279,.,9.95585,20.0133,11.4594,.,15.73635,8.3382,4.8212,.,6.5797,7.0849,1.4485,.,4.2667,0.1739,0.0555,.,0.1147,,
272,264,35,26,F,3,Drought,D.5.1,D,5,1,Jun-16,2:2,41,28,9.8,Jun-16,2:0,2,.,59.5,50.2,.,54.85,6.1559,5.4786,.,5.81725,21.6026,16.7803,.,19.19145,9.8797,7.4891,.,8.6844,8.059,6.4112,.,7.2351,0.0519,0.0462,.,0.04905,,
273,89,35,26,H,3,Drought,11.7.12,11,7,12,Jun-16,2:2,70,44,11.1,Jun-16,2:0,2,.,56.8,47.9,.,52.35,12.3341,9.811,.,11.07255,21.1276,18.8123,.,19.96995,9.3359,8.3576,.,8.84675,7.0968,2.0472,.,4.572,0.1534,0.1163,.,0.13485,,
274,31,35,27,E,3,Drought,G.7.3,G,7,3,Jun-16,2:2,75,24,8.8,Jun-16,2:0,2,.,51.8,44.7,.,48.25,8.2025,10.0213,.,9.1119,14.3497,15.6882,.,15.01895,5.9834,6.434,.,6.2087,4.7105,4.9236,.,4.81705,0.0994,0.0861,.,0.09275,,
275,55,35,27,G,3,Drought,T3.8.9,T3,8,9,Jun-16,2:2,66.2,17,8.7,Jun-16,2:0,2,.,49.1,47.4,.,48.25,7.5292,10.0141,.,8.77165,14.6647,15.8708,.,15.26775,6.2542,6.626,.,6.4401,2.7998,2.4233,.,2.61155,0.0992,0.0679,.,0.08355,,
276,251,35,28,F,3,Drought,11.9.8,11,9,8,Jun-16,2:2,64.4,29,.,Jun-16,2:0,2,.,53,51.7,.,52.35,10.2199,10.5634,.,10.39165,16.3556,16.22,.,16.2878,6.9869,6.9348,.,6.96085,5.9299,2.3939,.,4.1619,0.1092,0.121,.,0.1151,,
277,283,35,28,H,3,Drought,B.7.8,B,7,8,Jun-16,2:2,51.5,34,6.3,Jun-16,2:0,2,.,47,31.6,.,39.3,18.5616,13.5549,.,16.05825,18.1528,16.3576,.,17.2552,6.4614,5.8232,.,6.1423,5.399,3.8598,.,4.6294,0.1506,0.1132,.,0.1319,,
278,83,35,29,E,3,Drought,T3.3.4,T3,3,4,Jun-16,2:2,46.5,40,8.2,Jun-16,2:0,2,.,49.4,41,.,45.2,9.4537,6.819,.,8.13635,17.4242,15.2888,.,16.3565,7.6476,6.8052,.,7.2264,6.274,4.3197,.,5.29685,0.083,0.0561,.,0.06955,,
279,91,35,29,G,3,Drought,D.10.18,D,10,18,Jun-16,2:2,46,21,10.4,Jun-16,2:0,2,.,54.8,50.9,.,52.85,13.1108,8.7151,.,10.91295,18.1894,15.9483,.,17.06885,7.8737,6.9691,.,7.4214,6.3432,2.1422,.,4.2427,0.1165,0.0777,.,0.0971,,
280,198,35,30,F,3,Drought,B.5.14,B,5,14,Jun-16,2:2,66.4,26,6.8,Jun-16,2:0,2,.,41.9,45.8,.,43.85,11.2389,15.3702,.,13.30455,15.2058,16.669,.,15.9374,6.0639,6.27,.,6.16695,5.0427,3.6947,.,4.3687,0.1844,0.1331,.,0.15875,,
281,26,35,30,H,3,Drought,D.6.16,D,6,16,Jun-16,2:2,52.3,48,12.4,Jun-16,2:0,2,.,54.3,48.3,.,51.3,9.105,7.411,.,8.258,21.2107,19.7179,.,20.4643,9.3384,8.9709,.,9.15465,7.1994,1.3558,.,4.2776,0.1141,0.0944,.,0.10425,,
282,588,36,31,A,4,Water,D.7.2,D,7,2,Jun-16,2:2,28,17,7.5,Jun-16,2:0,2,.,49.5,47,.,48.25,9.096,5.5649,.,7.33045,16.0058,13.3615,.,14.68365,6.5694,5.8369,.,6.20315,5.671,1.4496,.,3.5603,0.0776,0.0457,.,0.06165,,
283,495,36,31,C,4,Water,11.1.10,11,1,10,Jun-16,2:2,59,53,8.7,Jun-16,2:0,2,.,57.8,54.1,.,55.95,7.7891,7.2698,.,7.52945,17.0303,16.0119,.,16.5211,7.6082,7.1569,.,7.38255,6.2857,1.6832,.,3.98445,0.0737,0.0686,.,0.07115,,
284,587,36,32,B,4,Water,T3.9.17,T3,9,17,Jun-16,2:2,56,31,6,Jun-16,2:0,2,.,51.6,47,.,49.3,11.503,9.3664,.,10.4347,16.2169,14.0968,.,15.15685,6.1213,5.4377,.,5.7795,4.701,3.1604,.,3.9307,0.1044,0.0799,.,0.09215,,
285,594,36,32,D,4,Water,G.9.8,G,9,8,Jun-16,2:2,54.5,40,9.3,Jun-16,2:0,2,.,48.6,48.5,.,48.55,18.1093,16.1784,.,17.14385,21.6737,19.4185,.,20.5461,8.9395,8.0797,.,8.5096,5.9727,3.0269,.,4.4998,0.1493,0.1247,.,0.137,,
286,354,36,33,A,4,Water,11.6.8,11,6,8,Jun-16,2:2,54,20,10,Jun-16,2:0,2,.,50.8,49.8,.,50.3,12.8018,9.8601,.,11.33095,19.6927,18.8006,.,19.24665,8.6073,8.3165,.,8.4619,5.2467,2.3237,.,3.7852,0.1591,0.1229,.,0.141,,
287,352,36,33,C,4,Water,B.3.5,B,3,5,Jun-16,2:2,76,41,8.5,Jun-16,2:0,2,.,40.2,35.1,.,37.65,14.5982,9.3106,.,11.9544,18.385,15.0897,.,16.73735,7.491,6.0906,.,6.7908,6.1045,2.8034,.,4.45395,0.1461,0.0929,.,0.1195,,
288,332,36,34,B,4,Water,G.3.18,G,3,18,Jun-16,2:2,73,56,10.2,Jun-16,2:0,2,.,42.2,38.7,.,40.45,12.9273,8.8498,.,10.88855,19.7142,18.2733,.,18.99375,8.7331,7.9173,.,8.3252,7.2086,1.9244,.,4.5665,0.1471,0.0994,.,0.12325,,
289,593,36,34,D,4,Water,T3.7.15,T3,7,15,Jun-16,2:2,74,22,11.2,Jun-16,2:0,2,.,53,48.4,.,50.7,11.4614,8.9034,.,10.1824,20.3086,17.2721,.,18.79035,8.8039,7.514,.,8.15895,6.5912,2.1515,.,4.37135,0.095,0.0739,.,0.08445,,
290,492,36,35,A,4,Water,B.8.2,B,8,2,Jun-16,2:2,62.5,43,8.7,Jun-16,2:0,2,.,41.8,38.2,.,40,13.203,10.3546,.,11.7788,17.9724,15.3309,.,16.65165,7.49,6.4201,.,6.95505,3.0003,4.7757,.,3.888,0.1332,0.1034,.,0.1183,,
291,419,36,35,C,4,Water,G.10.4,G,10,4,Jun-16,2:2,70.5,20,11.2,Jun-16,2:0,2,.,53.2,46,.,49.6,18.4718,10.8154,.,14.6436,22.7185,18.1407,.,20.4296,9.4864,7.8534,.,8.6699,5.3568,2.3319,.,3.84435,0.18,0.1024,.,0.1412,,
292,566,36,36,B,4,Water,D.5.8,D,5,8,Jun-16,2:2,45,106,8.3,Jun-16,2:0,2,.,49.8,48.4,.,49.1,5.9984,4.468,.,5.2332,14.9291,12.2616,.,13.59535,6.6729,5.4835,.,6.0782,5.2043,1.4187,.,3.3115,0.0537,0.0382,.,0.04595,,
293,321,36,36,D,4,Water,11.7.5,11,7,5,Jun-16,2:2,72,66,12.8,Jun-16,2:0,2,.,49.6,49.1,.,49.35,11.3354,7.8601,.,9.59775,19.5892,17.4216,.,18.5054,8.6979,7.7181,.,8.208,7.4303,1.6381,.,4.5342,0.108,0.0748,.,0.0914,,
294,583,36,37,A,4,Water,G.7.6,G,7,6,Jun-16,2:2,58.5,35,10.8,Jun-16,2:0,2,.,52.8,52.2,.,52.5,14.8435,10.4154,.,12.62945,19.9249,18.3162,.,19.12055,8.3422,7.984,.,8.1631,7.1134,2.3269,.,4.72015,0.1629,0.1186,.,0.14075,,
295,447,36,37,C,4,Water,T3.8.8,T3,8,8,Jun-16,2:2,35.4,14,6.2,Jun-16,2:0,2,.,46,43.4,.,44.7,4.9673,6.0202,.,5.49375,13.1171,14.8031,.,13.9601,5.6626,6.4807,.,6.07165,1.2922,1.3453,.,1.31875,0.0556,0.0613,.,0.05845,,
296,392,36,38,B,4,Water,11.9.7,11,9,7,Jun-16,2:2,68.6,39,8.3,Jun-16,2:0,2,.,53.6,45,.,49.3,12.7428,11.1311,.,11.93695,17.8451,16.6642,.,17.25465,7.2857,6.9075,.,7.0966,2.9676,5.4173,.,4.19245,0.1129,0.1127,.,0.1128,,
297,466,36,38,D,4,Water,B.7.4,B,7,4,Jun-16,2:2,57.4,45,6,Jun-16,2:0,2,.,41.6,41.3,.,41.45,15.0109,10.3628,.,12.68685,15.9194,13.3832,.,14.6513,5.1741,4.3865,.,4.7803,4.448,3.6458,.,4.0469,0.1247,0.0853,.,0.105,,
298,523,36,39,A,4,Water,T3.3.5,T3,3,5,Jun-16,2:2,34.3,34,10.9,Jun-16,2:0,2,.,51.5,41.3,.,46.4,8.7995,5.2805,.,7.04,17.3514,14.8707,.,16.11105,7.7207,6.7575,.,7.2391,6.6085,5.8521,.,6.2303,0.0662,0.0405,.,0.05335,,
299,344,36,39,C,4,Water,D.10.14,D,10,14,Jun-16,2:2,51.6,30,9.7,Jun-16,2:0,2,.,48.5,45.4,.,46.95,10.5902,8.7409,.,9.66555,15.3206,14.5004,.,14.9105,6.3253,6.1545,.,6.2399,5.0241,2.3384,.,3.68125,0.0796,0.066,.,0.0728,,
300,462,36,40,B,4,Water,B.5.2,B,5,2,Jun-16,2:2,31.5,11,7,Jun-16,2:0,2,.,55.2,47,.,51.1,4.0742,6.7694,.,5.4218,9.0189,11.2249,.,10.1219,3.3773,4.0409,.,3.7091,2.0196,3.2062,.,2.6129,0.0953,0.0508,.,0.07305,,
301,488,36,40,D,4,Water,D.6.1,D,6,1,Jun-16,2:2,46.5,35,8,Jun-16,2:0,2,.,55.1,51.5,.,53.3,9.0487,8.0123,.,8.5305,16.501,15.1593,.,15.83015,7.2875,6.6822,.,6.98485,5.8781,1.9732,.,3.92565,0.0773,0.0737,.,0.0755,,
302,514,36,31,E,4,Drought,D.7.1,D,7,1,Jun-16,2:2,41.3,34,6.8,Jun-16,2:0,2,.,42.6,42.2,.,42.4,8.7759,8.7489,.,8.7624,13.4977,13.2925,.,13.3951,5.4992,5.3774,.,5.4383,3.9816,4.0918,.,4.0367,0.0636,0.0667,.,0.06515,,
303,604,36,31,G,4,Drought,11.1.16,11,1,16,Jun-16,2:2,47,52,7.4,Jun-16,2:0,2,.,53.6,43,.,48.3,10.9242,8.7826,.,9.8534,18.6968,16.6275,.,17.66215,8.1254,7.3265,.,7.72595,6.6528,5.5579,.,6.10535,0.1285,0.1023,.,0.1154,,
304,506,36,32,F,4,Drought,T3.9.7,T3,9,7,Jun-16,2:2,66.1,39,9.8,Jun-16,2:0,2,.,54.9,50.5,.,52.7,11.2337,8.2814,.,9.75755,17.1286,14.7661,.,15.94735,7.2879,6.3626,.,6.82525,5.7142,3.9442,.,4.8292,0.1129,0.0771,.,0.095,,
305,339,36,32,H,4,Drought,G.9.13,G,9,13,Jun-16,2:2,47,37,11.5,Jun-16,2:0,2,.,44.1,35.4,.,39.75,19.382,9.3988,.,14.3904,21.5576,15.838,.,18.6978,8.7644,6.7598,.,7.7621,6.8598,2.3879,.,4.62385,0.235,0.1048,.,0.1699,,
306,535,36,33,E,4,Drought,11.6.15,11,6,15,Jun-16,2:2,66,34,8.4,Jun-16,2:0,2,.,45.7,44.7,.,45.2,15.4275,9.6662,.,12.54685,18.9927,16.8087,.,17.9007,7.612,7.0095,.,7.31075,4.48,4.407,.,4.4435,0.1504,0.1061,.,0.12825,,
307,595,36,33,G,4,Drought,B.3.7,B,3,7,Jun-16,2:2,60,28,9.6,Jun-16,2:0,2,.,48.8,46.1,.,47.45,14.1496,10.9567,.,12.55315,19.546,17.6547,.,18.60035,8.4725,7.6704,.,8.07145,6.8486,2.4368,.,4.6427,0.1494,0.1166,.,0.133,,
308,442,36,34,F,4,Drought,G.3.8,G,3,8,Jun-16,2:2,66,31,10.1,Jun-16,2:0,2,.,46.5,38.5,.,42.5,12.7259,5.6051,.,9.1655,18.5744,11.2796,.,14.927,7.7841,4.7094,.,6.24675,6.0997,1.9568,.,4.02825,0.1479,0.0527,.,0.1003,,
309,515,36,34,H,4,Drought,T3.7.13,T3,7,13,Jun-16,2:2,51.3,26,8.3,Jun-16,2:0,2,.,50.8,45.2,.,48,8.2906,5.4858,.,6.8882,16.4361,12.8722,.,14.65415,6.9838,5.7299,.,6.35685,6.2913,1.5278,.,3.90955,0.0794,0.0528,.,0.0661,,
310,306,36,35,E,4,Drought,B.8.13,B,8,13,Jun-16,2:2,58.3,23,10,Jun-16,2:0,2,.,46,39.2,.,42.6,11.6258,6.9068,.,9.2663,16.9709,13.9956,.,15.48325,7.0273,5.9961,.,6.5117,5.5911,1.967,.,3.77905,0.1049,0.0524,.,0.07865,,
311,531,36,35,G,4,Drought,G.10.10,G,10,10,Jun-16,2:2,54.5,27,7.4,Jun-16,2:0,2,.,56,52.4,.,54.2,13.425,9.301,.,11.363,18.7264,15.2936,.,17.01,7.8292,6.2434,.,7.0363,6.1151,2.6301,.,4.3726,0.158,0.1008,.,0.1294,,
312,341,36,36,F,4,Drought,D.5.6,D,5,6,Jun-16,2:2,30,36,6,Jun-16,2:0,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,,no D.5.6
313,502,36,36,H,4,Drought,11.7.4,11,7,4,Jun-16,2:2,57.4,61,10.6,Jun-16,2:0,2,.,59,53.1,.,56.05,8.4493,5.8327,.,7.141,18.7891,14.988,.,16.88855,8.3313,6.8993,.,7.6153,7.2464,4.9481,.,6.09725,0.109,0.0744,.,0.0917,,
314,484,36,37,E,4,Drought,G.7.8,G,7,8,Jun-16,2:2,67.3,42,9,Jun-16,2:0,2,.,48,39.6,.,43.8,14.0566,10.9136,.,12.4851,20.7928,17.7675,.,19.28015,9.1826,7.6939,.,8.43825,7.2896,6.2597,.,6.77465,0.1433,0.1113,.,0.1273,,
315,318,36,37,G,4,Drought,T3.8.15,T3,8,15,Jun-16,2:2,66.5,25,11.8,Jun-16,2:0,2,.,51.8,49.3,.,50.55,10.8052,12.6542,.,11.7297,17.0081,19.0994,.,18.05375,7.3197,8.2691,.,7.7944,5.2045,4.0311,.,4.6178,0.1484,0.1329,.,0.14065,,
316,337,36,38,F,4,Drought,11.9.1,11,9,1,Jun-16,2:2,61.5,25,9.7,Jun-16,2:0,2,.,55.5,52.9,.,54.2,11.6856,6.7749,.,9.23025,16.7279,12.2777,.,14.5028,6.8832,4.7865,.,5.83485,4.4652,2.2088,.,3.337,0.1258,0.0712,.,0.0985,,
317,331,36,38,H,4,Drought,B.7.10,B,7,10,Jun-16,2:2,51,28,7.2,Jun-16,2:0,2,.,50,46,.,48,8.6479,5.949,.,7.29845,12.5815,10.5867,.,11.5841,4.7965,4.1863,.,4.4914,3.928,2.233,.,3.0805,0.1057,0.0704,.,0.08805,,
318,547,36,39,E,4,Drought,T3.3.9,T3,3,9,Jun-16,2:2,49.3,41,11.2,Jun-16,2:0,2,.,47.7,38.5,.,43.1,11.2186,7.3596,.,9.2891,19.9193,16.0182,.,17.96875,8.7436,7.1228,.,7.9332,6.7338,1.7392,.,4.2365,0.1088,0.0733,.,0.09105,,
319,472,36,39,G,4,Drought,D.10.15,D,10,15,Jun-16,2:2,49,14,12.3,Jun-16,2:0,2,.,53.8,48.9,.,51.35,14.7396,9.3748,.,12.0572,20.9977,15.34,.,18.16885,9.1287,6.6516,.,7.89015,7.839,4.5518,.,6.1954,0.1882,0.1098,.,0.149,,
